Age,YearsOfWorking,Gender,Residence,RecentJob.Position,RecentJob.Firm,RecentJob.StartDate,RecentJob.EndDate,Position,Industry,HistoryJob1.Position,HistoryJob1.Firm,HistoryJob1.StartDate,HistoryJob1.EndDate,HistoryJob2.Position,HistoryJob2.Firm,HistoryJob2.StartDate,HistoryJob2.EndDate,EducationBackground,Major,University,ExpectedSalary.LowerLimit,ExpectedSalary.UpperLimit,RecentJob.Months,HistoryJob1.Months,HistoryJob2.Months
36,13,男,上海,技术总监/经理  ,  浙江太象网络科技有限公司  ,4/1/2013,,技术总监/经理,互联网/电子商务,高级开发工程师  ,  义乌一苇软件科技有限公司   ,8/1/2011,3/1/2013,高级软件工程师  ,  聚光科技（杭州）股份有限公司   ,9/1/2008,11/1/2010,硕士,工商管理,华东理工大学,25000,29999,,19,26
39,17,男,上海-杨浦区,IT经理  ,  可口可乐企业管理上海有限公司  ,7/1/2014,,信息技术经理/主管,快速消费品(食品、饮料、化妆品),IT经理  ,  凯发集团   ,9/1/2011,7/1/2014,IT 经理  ,  东芝泰格(深圳)有限公司 上海分公司   ,10/1/2007,9/1/2011,MBA,管理科学,复旦大学,30000,39999,,34,47
33,11,女,上海-浦东新区,高级测试工程师  ,  美世咨询  ,12/1/2011,,软件测试,计算机软件,软件测试  ,  花旗软件技术服务有限公司CSTS   ,10/1/2009,11/1/2011,软件测试  ,  上海卡申电脑科技有限公司   ,5/1/2006,9/1/2009,本科,计算机科学与技术,安徽省淮南师范学院,20000,24999,,25,40
33,11,男,上海-浦东新区,项目经理  ,  凯捷咨询(中国)有限公司  ,10/1/2009,3/1/2017,项目总监,计算机软件,高级软件工程师  ,  IBM中国开发中心   ,1/1/2008,10/1/2009,,,,,本科,信息与计算科学,淮海工学院,25000,29999,89,21,
34,11,男,上海,信息技术经理/主管  ,  银联数据服务公司  ,5/1/2006,,信息技术经理/主管,金融/投资/证券,,,,,,,,,硕士,管理科学,江西财经大学,100000及以上 ,,,,
35,13,男,上海-徐汇区,Global IT Infrastructure Manager  ,  Coupang  ,6/1/2015,,信息技术经理/主管,互联网/电子商务,高级系统管理员  ,  PTC   ,2/1/2010,6/1/2015,高级系统管理员  ,  AATI（美国研诺逻辑集成电路有限公司）   ,9/1/2006,2/1/2010,本科,计算机信息管理,扬州大学,40000,49999,,64,41
41,20,女,上海-普陀区,（海外）Lead  ,  上海海拉汽车电子有限公司  ,2/1/2013,,其他,电子技术/半导体/集成电路,高级软件工程师  ,  盛大计算机(上海)有限公司   ,3/1/2011,,高级软件配置管理工程师(PMD_SCM)  ,  快钱支付清算信息有限公司   ,8/1/2010,2/1/2011,硕士,计算机科学与技术,"Muenster University of Applied Sciences, Germany (德国明斯特应用科技大学)",,,,,6
37,13,男,上海,项目主管  ,  印孚瑟斯技术有限公司(Infosys China)  ,10/1/2005,,项目主管,计算机软件,软件工程师  ,  上海华硕   ,3/1/2005,10/1/2005,,,,,本科,计算机科学与技术,上海理工大学,30000,39999,,7,
38,16,男,上海-浦东新区,售前顾问  ,  HP  ,10/1/2011,,专业顾问,计算机软件,项目经理  ,  Fusion   ,6/1/2007,10/1/2011,业务方案经理  ,  海辉www.hisoft.com   ,3/1/2006,5/1/2007,本科,计算机科学与技术,英国考文垂大学(Coventry University),30000,39999,,52,14
32,8,男,上海,系统工程师  ,  上海联彤网络通讯有限公司  ,8/1/2015,,系统工程师,通信/电信/网络设备,开发工程师  ,  上海联影医疗科技有限公司   ,6/1/2012,7/1/2015,高级软件工程师  ,  上海宇芯科技   ,3/1/2011,5/1/2012,硕士,计算机科学与技术,武汉理工大学,20000,24999,,37,14
35,16,女,上海-浦东新区,需求工程师/技术顾问  ,  惠普全球软件服务中心  ,8/1/2016,,信息技术专员,计算机软件,（海外）软件工程师  ,  Industrial Automation Group Pty Ltd   ,4/1/2015,8/1/2016,需求分析师  ,  上海电信企业信息化部   ,4/1/2004,6/1/2011,本科,计算机科学与技术,上海大学,15000,19999,,16,86
30,9,男,上海-长宁区,PM For BPM WorkFlow K2 Sharepoint  ,  文思海辉技术有限公司  ,9/1/2012,,项目经理,计算机软件,高级软件工程师  ,  新宇软件   ,5/1/2011,9/1/2012,SharePoint Dev and design  ,  软通动力信息技术（集团）有限公司   ,9/1/2009,5/1/2011,本科,计算机科学与技术,陕西科技大学,25000,29999,,16,20
40,18,男,上海-徐汇区,技术联合创始人  ,  上海万间信息技术有限公司  ,11/1/2014,,首席技术执行官CTO/首席信息官CIO,房地产,总监/部门经理  ,  上海禄美信息技术有限公司   ,8/1/2011,,项目经理  ,  前锦文化传播有限公司   ,1/1/2001,7/1/2011,硕士,电子信息科学类,上海交通大学,100000及以上 ,,,,126
33,12,女,上海-徐汇区,高级测试工程师，Test Leader，SME  ,  花旗软件技术有限公司  ,10/1/2008,4/1/2016,软件测试,计算机软件,助理编辑  ,  上海《设计家》杂志社   ,10/1/2007,4/1/2008,经理助理  ,  上海国美电器有限公司   ,3/1/2007,9/1/2007,本科,工商管理类,上海理工大学,20000,24999,90,6,6
26,3,男,上海-浦东新区,Web前端开发工程师  ,  上海携宁计算机科技股份有限公司  ,8/1/2014,7/1/2015,Web前端开发,互联网/电子商务,,,,,,,,,硕士,计算机科学,美国雪城大学（Syracuse University）,15000,19999,11,,
35,12,男,上海-嘉定区,销售经理  ,  上海华东电脑股份有限公司  ,8/1/2016,,销售经理,计算机软件,销售部副经理/销售总监  ,  上海宝景信息技术发展有限公司   ,3/1/2013,7/1/2016,项目经理/项目总监  ,  上海宝景信息技术发展有限公司   ,3/1/2008,2/1/2013,本科,计算机科学与技术,辽宁工业大学,20000,24999,,40,59
36,13,男,上海-浦东新区,（海外）高级项目经理  ,  印孚瑟斯技术（中国）有限公司  ,4/1/2006,,项目总监,计算机软件,软件开发  ,  上海同畅信息技术有限公司   ,9/1/2005,4/1/2006,软件开发  ,  南通信和科技有限公司   ,9/1/2004,8/1/2005,本科,计算机科学与技术,南通大学,30000,39999,,7,11
37,15,男,上海,项目经理  ,  诸葛天下（北京）信息技术股份有限公司  ,7/1/2016,,产品经理/主管,互联网/电子商务,高级项目经理  ,  Infosys   ,3/1/2011,6/1/2016,项目经理  ,  CDC 软件   ,3/1/2010,3/1/2011,本科,计算机科学与技术,中国民航学院,25000,29999,,63,12
35,13,男,上海-浦东新区,信息技术经理/主管  ,  凯捷咨询（中国）有限公司  ,5/1/2012,,项目经理,计算机软件,高级软件工程师  ,  高知特信息技术（上海）有限公司   ,4/1/2010,4/1/2012,高级软件工程师  ,  上海凌阳科技有限公司   ,2/1/2006,2/1/2010,本科,计算机科学与技术,湖北科技学院,,,,24,48
40,18,男,上海,测试经理  ,  上海中智经济合作公司  ,10/1/2014,,系统测试,计算机软件,QA经理  ,  上海卫伦信息有限公司   ,6/1/2013,,开发(3年)、测试、测试经理  ,  上海亿通国际有限公司   ,7/1/2005,,硕士,计算机科学与技术,澳大利亚纽卡素大学,30000,39999,,,
30,7,男,上海-浦东新区,（海外）信息技术经理/主管  ,  BauerMedia Ltd. NZ  ,9/1/2014,,技术总监/经理,影视/媒体/艺术/文化传播,（海外）高级软件工程师  ,  BauerMedia Ltd. NZ   ,9/1/2012,9/1/2014,（海外）技术总监/经理  ,  MROffice   ,9/1/2010,9/1/2012,硕士,计算机科学,奥克兰大学,30000,39999,,24,24
44,19,男,上海,研发总监  ,  三一重工股份有限公司  ,3/1/2016,,技术总监/经理,计算机软件,网管产品部负责人  ,  上海贝尔   ,11/1/2004,3/1/2016,项目经理  ,  上海贝尔阿尔卡特有限公司   ,5/1/1999,11/1/2004,硕士,自动化,中国科技大学,40000,49999,,136,66
41,17,女,上海,软件测试  ,  柯达中国投资有限公司  ,6/1/2006,,软件测试,多元化业务集团公司,技术支持/维护工程师  ,  吉贝克信息技术有限公司   ,3/1/2006,8/1/2006,技术支持/维护经理  ,  申银万国证券股份有限公司   ,3/1/2004,11/1/2005,硕士,地理科学,华东师范大学,20000,24999,,5,20
32,13,男,上海-浦东新区,系统工程师  ,  上海清算所综合业务管理系统  ,4/1/2015,2/1/2017,系统工程师,银行,系统工程师  ,  银联商务有限公司资金和代付前置系统   ,12/1/2013,4/1/2015,高级软件工程师  ,  中国银行客户交易信息系统   ,11/1/2012,10/1/2013,本科,电子商务,怀卡托大学,15000,19999,22,16,11
27,7,男,上海-徐汇区,商务拓展经理  ,  共颖信息科技（上海）有限公司  ,10/1/2014,,业务拓展主管/经理,互联网/电子商务,销售实习  ,  西门子   ,7/1/2014,10/1/2014,分析师  ,  Loccioni Group   ,4/1/2013,7/1/2013,MBA,工商管理类,ICN Business School,15000,19999,,3,3
42,22,女,上海-杨浦区,项目经理  ,  上海裕隆生物科技有限公司  ,9/1/2013,,项目经理,制药/生物工程,项目主管  ,  上海三一精机   ,12/1/2010,9/1/2013,部门主管  ,  三碁公司   ,5/1/2008,11/1/2010,硕士,计算机科学与技术类,电子科技大学,30000,39999,,33,30
26,5,女,上海-杨浦区,数据中心运营专员  ,  采埃孚（中国）投资有限公司  ,5/1/2016,,其他,汽车及零配件,高级系统分析师  ,  高知特信息技术(上海)有限公司   ,9/1/2013,4/1/2016,软件工程师  ,  上海坦思计算机系统有限公司   ,6/1/2012,8/1/2013,本科,软件工程,华东师范大学,20000,24999,,31,14
